hashed=CF6573EC9BB076888F7B224C0D9897C9B4F846889B8CF20C7F9183FFAD66EFC7836C225DD28865051878B12B0A43FBDF35E13D97A5AEF49E1AC10E976ECB443A	checked=CF6573EC9BB076888F7B224C0D9897C9B4F846889B8CF20C7F9183FFAD66EFC7836C225DD28865051878B12B0A43FBDF35E13D97A5AEF49E1AC10E976ECB443A



serverSeed=ndJNeOljzuskm1U8EQousyueTevLOaauQXnqt1MpiytcSAz9qB6nB17Dinc1fFMP			
clientSeed=KhtYMe4JORllqDUJ			
nonce,roll
0,42.78
1,84.54			
2,64.95	
3,47.80			
4,86.58			
5,49.59			
6,83.06			
7,35.05			
8,91.34			
9,25.48			
10,30.69			
